Title:,URL:,Thumbnail URL:,Channel name:,Description:,Views:,Streamed ago:
Asake - Lonely At The Top (Official Video),https://www.youtube.com/watch?v=bbVZo4Yw7pI,https://i.ytimg.com/vi/bbVZo4Yw7pI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCcRJj63vmwzmDLT6-2ZnBB15y-Q,ASAKE,"Listen to the album ""Work Of Art"". Out Now! Stream: https://music.empi.re/workofart #Asake #WorkOfArt #EMPIRE Official Video by Asake - ""Lonely At The Top"" © 2023 YBNL Nation / EMPIRE",4.3M views,8 days ago
Selena Gomez - Single Soon (Official Music Video),https://www.youtube.com/watch?v=yOuqn4w1ozA,https://i.ytimg.com/vi/yOuqn4w1ozA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3cKTVbM4v8otB4Ynnlu3MGOsGeA,Selena Gomez,Get Single Soon Out Now: https://SelenaGomez.lnk.to/SingleSoon Follow Selena Gomez: Instagram: https://instagram.com/selenagomez?igs... Twitter: https://twitter.com/selenagomez?s=21&... ...,1.6M views,7 hours ago
Fortnite Chapter 4 Season 4 LAST RESORT Cinematic Trailer,https://www.youtube.com/watch?v=p_DReaOoEjM,,Fortnite,"A two-faced traveler, a momentous mastermind and a pivotal plot. This is Fortnite Last Resort. Vampire Kado Thorne has made the Island his home in Fortnite Battle Royale Chapter 4 Season 4,...",2.4M views,21 hours ago
